category_id,name,price,company_name,active_ingredient,how_supplied,storage,dosage_form,pack_size,origin,strength,image,detail,note,documentation_availability,sourcing_delivery,frequently_asked_questions,disclaimer,on_request,source_url,show_on_home
6,Kineret,1400,Swedish Orphan Biovitrum,Anakinra,,2°C to 8°C,,28 PFS,Germany,100 mg/0.67 ml,,Kineret  is a registered Trademark of Swedish Orphan Biovitrum,Kineret  100 mg/0.67 ml 28 PFS Summary of Product Characteristics (SmPC ) - (EMA)ema.europa.eu,,,,,,https://www.ema.europa.eu/en/documents/product-information/kineret-epar-product-information_en.pdf,
3,SKYCLARYS,29000,Astra Zeneca,Omaveloxolon,,15°C to 30°C,,90 Capsules,Germany,50 mg,,SKYCLARYS  is a registered Trademark of  Astra Zeneca,SKYCLARYS  50 mg 90 Capsules Summary of Product Characteristics (SmPC ) - (EMA)ema.europa.eu,,,,,,https://www.ema.europa.eu/en/documents/product-information/skyclarys-epar-product-information_en.pdf,
1,Brinsupri,13000,Insmed Netherlands,Brensocatib,,15°C to 30°C,,30 Tablets,Netherlands,10 mg,,Brinsupri  is a registered Trademark of Insmed Netherlands,Brinsupri  10 mg 30 Tablets Summary of Product Characteristics (SmPC ) - (EMA)ema.europa.eu,,,,,,https://www.ema.europa.eu/en/documents/product-information/brinsupri-epar-product-information_en.pdf,
1,Ibtrozi,5160,Nuvation Bio,Taletrectinib,,15°C to 30°C,,33 capsules,Japan,200 mg,,Ibtrozi  is a registered Trademark of Nuvation Bio,Ibtrozi  200 mg 33 capsules  Summary of Product Characteristics (SmPC)  - (FDA) fda.gov,,,,,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/219713s000lbl.pdf,
3,Evkeeza,24000,Ultragenyx Germany Gmbh,Evinacumab,,2°C to 8°C,,Single Vial,Germany,345 mg/2.3 ml,,Evkeeza  is a registered Trademark of Ultragenyx Germany GmbH,Evkeeza  345 mg/2.3 ml Single Vial Summary of Product Characteristics (SmPC ) - (EMA)ema.europa.eu,,,,,,https://www.ema.europa.eu/en/documents/product-information/evkeeza-epar-product-information_en.pdf,
3,Qalsody,20000,Solong Biogen Gmbh,Tofersen,,2°C to 8°C,,Single Vial,Netherlands,100 mg,,Qalsody  is a registered Trademark of Solong Biogen GmbH,Qalsody  100 mg Single Vial Summary of Product Characteristics (SmPC ) - (EMA)ema.europa.eu,,,,,,https://www.ema.europa.eu/en/documents/product-information/qalsody-epar-product-information_en.pdf,
6,VYVGART,7665,Biogen Netherlands,Tofersen,,2°C to 8°C,,Single Vial,Netherlands,20 mg/ml,,VYVGART  is a registered Trademark of Biogen Netherlands,VYVGART  20 mg/ml Single Vial Summary of Product Characteristics (SmPC ) - (EMA)ema.europa.eu,,,,,,https://www.ema.europa.eu/en/documents/product-information/qalsody-epar-product-information_en.pdf,
1,Vanflyta,6000,Daiichi Sankyo Europe Gmbh,Quizartinib,,15°C to 30°C,,28 Tablets,Germany,17.7 mg,,Vanflyta  is a registered Trademark of Daiichi Sankyo Europe GmbH,Vanflyta  17.7 mg 28 Tablets Summary of Product Characteristics (SmPC ) - (EMA)ema.europa.eu,,,,,,https://www.ema.europa.eu/en/documents/product-information/vanflyta-epar-product-information_en.pdf,
1,Odomzo,23183,Novartis,Sonidegib,,15°C to 30°C,,30 Tablets,USA,200 mg,,Odomzo  is a registered Trademark of Novartis,Odomzo  200 mg 30 Tablets Summary of Product Characteristics (SmPC ) - (EMA)ema.europa.eu,,,,,,https://www.ema.europa.eu/en/documents/product-information/odomzo-epar-product-information_en.pdf,
1,Erivedge,5595,Roche Pharma,Vismodegib,,15°C to 30°C,,28 Capsules,Germany,150 mg,,Erivedge  is a registered Trademark of Roche Pharma,Erivedge  150 mg 28 Capsules Summary of Product Characteristics (SmPC ) - (EMA)ema.europa.eu,,,,,,https://www.ema.europa.eu/en/documents/product-information/erivedge-epar-product-information_en.pdf,
1,Daurismo,9113,Pfizer,Glasdegib,,15°C to 30°C,,30 Tablets,Belgium,100 mg,,Daurismo  is a registered Trademark of Pfizer,Daurismo  100 mg 30 Tablets Summary of Product Characteristics (SmPC ) - (EMA)ema.europa.eu,,,,,,https://www.ema.europa.eu/en/documents/product-information/daurismo-epar-product-information_en.pdf,
1,Ayvakit,4085,Blueprint Medicines (Netherlands) B.V.,Avapritinib,,15°C to 30°C,,30 Tablets,Germany,300 mg,,Ayvakit is a registered Trademark of Blueprint Medicines (Netherlands) B.V.,Ayvakit  300 mg 30 Tablets Summary of Product Characteristics (SmPC ) - (EMA)ema.europa.eu,,,,,,https://www.ema.europa.eu/en/documents/product-information/ayvakyt-epar-product-information_en.pdf,
1,Augtyro,2086,Zai Lab,Repotrectinib,,15°C to 30°C,,120 Capsules,Germany,40 mg,,Augtyro is a registered Trademark of Zai Lab,Augtyro  40 mg 120 Capsules Summary of Product Characteristics (SmPC ) - (EMA)ema.europa.eu,,,,,,https://www.ema.europa.eu/en/documents/product-information/augtyro-epar-product-information_en.pdf,
